"","input","filtered","denoised","merged","nonchim"
"FKT.001",65748,57254,50850,30496,27581
"FKT.002",65914,57416,51256,31162,28385
"FKT.003",70053,61010,55070,35249,32482
"FKT.004",65467,57102,51594,34602,32317
"FKT.005",62373,54494,48466,27536,24590
"FKT.006",76669,66801,60964,42567,40111
"FKT.007",66498,57926,52434,35545,33542
"FKT.008",62680,54379,48999,32536,30570
"FKT.009",78897,68718,61929,39111,35592
"FKT.010",65373,56446,50862,34343,32030
"FKT.011",63720,55134,49809,34553,32429
"FKT.012",66268,57601,51982,35157,32796
"FKT.013",66772,57729,51969,33283,30034
"FKT.014",64991,60085,56045,47456,46298
"FKT.015",69113,59749,54246,35685,32838
"FKT.019",70158,64779,61731,55200,54263
"FKT.020",69565,60877,54034,29645,25959
"FKT.021",69987,64853,61422,53448,52388
"FKT.022",63873,59236,56068,49238,48263
"FKT.023",63328,54781,49484,29911,27794
"FKT.024",66215,61155,58859,53221,52644
"FKT.025",66406,61607,58273,50990,50158
"FKT.026",62692,58315,54986,47501,46365
"FKT.027",64818,60328,56628,49164,47880
"FKT.028",64073,55566,51293,40135,38228
"FKT.029",64284,59744,56316,49381,48170
"FKT.030",64832,60425,56631,48845,47545
"FKT.031",65620,57005,53623,43383,41987
"FKT.032",65674,57404,53075,40278,38193
"FKT.033",66306,57740,53446,40426,37924
